,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snowfall inches (last 3 hrs)
471,Boa Vista,BR,2019-11-08 06:38:39,2.82,-60.67,80.6,74,21,5.82,light rain,0.75,0.0
472,Kiruna,SE,2019-11-08 06:38:39,67.86,20.23,-0.41,91,94,2.24,light snow,0.0,0.0
473,Avera,US,2019-11-08 06:38:39,33.19,-82.53,60.8,100,90,9.31,moderate rain,0.0,0.0
474,Mabaruma,GY,2019-11-08 06:38:39,8.2,-59.78,74.05,98,100,1.36,overcast clouds,0.0,0.0
475,Marmaris,TR,2019-11-08 06:38:40,36.85,28.27,66.2,87,1,4.7,clear sky,0.0,0.0
476,Trelew,AR,2019-11-08 06:38:40,-43.25,-65.31,50.65,33,42,10.11,scattered clouds,0.0,0.0
477,Emerald,AU,2019-11-08 06:38:40,-23.53,148.16,98.6,7,0,17.22,clear sky,0.0,0.0
478,Minab,IR,2019-11-08 06:38:40,27.15,57.07,86.0,37,0,6.93,clear sky,0.0,0.0
479,Omboue,GA,2019-11-08 06:38:40,-1.57,9.26,75.97,93,100,2.51,overcast clouds,0.0,0.0
480,Tall Kayf,TR,2019-11-08 06:38:41,37.08,41.07,62.6,45,0,3.36,clear sky,0.0,0.0
481,Antalaha,MG,2019-11-08 06:38:41,-14.9,50.28,78.76,81,100,12.68,light rain,2.81,0.0
482,Altamira,BR,2019-11-08 06:38:41,-3.2,-52.21,74.39,90,31,1.45,scattered clouds,0.0,0.0
483,Kokkarion,GR,2019-11-08 06:38:41,37.78,26.89,68.0,72,10,9.84,clear sky,0.0,0.0
484,Omsukchan,RU,2019-11-08 06:38:41,62.53,155.8,9.0,97,48,2.62,scattered clouds,0.0,0.0
485,Sao Joao Da Barra,BR,2019-11-08 06:35:47,-21.64,-41.05,74.1,90,53,3.78,light rain,0.13,0.0
486,Savantvadi,IN,2019-11-08 06:38:42,15.9,73.82,84.2,70,40,6.93,scattered clouds,0.0,0.0
487,Bilibino,RU,2019-11-08 06:38:42,68.06,166.44,11.43,73,100,2.55,overcast clouds,0.0,0.0
488,Brownsville,US,2019-11-08 06:38:42,25.91,-97.49,75.2,83,90,12.75,light rain,0.0,0.0
489,Cartagena,ES,2019-11-08 06:38:42,37.63,-1.0,57.2,47,28,12.75,scattered clouds,0.0,0.0
490,Nouakchott,MR,2019-11-08 06:38:42,18.08,-15.98,64.4,72,69,11.41,broken clouds,0.0,0.0
491,Baghdad,IQ,2019-11-08 06:36:41,33.3,44.38,64.4,48,0,6.93,clear sky,0.0,0.0
492,Tolon,GH,2019-11-08 06:38:43,9.43,-1.07,77.09,72,13,4.52,few clouds,0.0,0.0
493,Schonebeck,DE,2019-11-08 06:38:43,51.98,7.5,39.2,93,1,1.12,clear sky,0.0,0.0
494,Nuuk,GL,2019-11-08 06:38:43,64.17,-51.74,39.2,35,100,17.22,overcast clouds,0.0,0.0
495,Akdepe,TM,2019-11-08 06:38:43,42.05,59.39,53.6,43,0,2.24,clear sky,0.0,0.0
496,Wajid,SO,2019-11-08 06:38:44,3.81,43.25,80.08,70,93,11.3,overcast clouds,0.0,0.0
497,Upata,VE,2019-11-08 06:38:44,8.02,-62.41,70.2,97,91,1.68,overcast clouds,0.0,0.0
498,Chekhov,RU,2019-11-08 06:38:44,55.14,37.45,39.2,100,90,6.71,mist,0.0,0.0
499,Pringsewu,ID,2019-11-08 06:38:44,-5.36,104.98,89.82,42,4,7.96,clear sky,0.0,0.0
500,Anloga,GH,2019-11-08 06:38:44,5.79,0.9,77.0,94,20,2.24,few clouds,0.0,0.0
501,Manadhoo,MV,2019-11-08 06:38:45,5.77,73.38,82.04,79,56,8.52,broken clouds,0.0,0.0
502,Mookane,BW,2019-11-08 06:38:45,-23.68,26.66,86.58,15,4,7.34,clear sky,0.0,0.0
503,Doha,QA,2019-11-08 06:36:41,25.29,51.53,82.4,58,43,6.93,scattered clouds,0.0,0.0
504,Poso,ID,2019-11-08 06:38:06,-1.4,120.75,77.72,64,71,3.42,broken clouds,0.0,0.0
505,Broken Hill,AU,2019-11-08 06:38:45,-31.97,141.45,66.2,27,40,26.4,scattered clouds,0.0,0.0
506,South Yarmouth,US,2019-11-08 06:38:46,41.67,-70.18,48.2,93,90,4.7,light rain,0.0,0.0
507,Kloulklubed,PW,2019-11-08 06:38:46,7.04,134.26,77.0,88,90,6.93,shower rain,0.0,0.0
508,Ca Mau,VN,2019-11-08 06:37:08,9.18,105.15,84.7,77,91,6.08,moderate rain,5.31,0.0
